,titles,links
0,Mercato OM : ça bouge pour Vitinha !,https://www.footmercato.net/a7514943491165359563-mercato-om-ca-bouge-pour-vitinha
1,Mercato : les cadors européens copient le modèle Real Madrid,https://www.footmercato.net/a7613547348710844225-mercato-les-cadors-europeens-copient-le-modele-real-madrid
2,"Mercato en direct : le clan Mbappé agace Madrid, l’OM veut Lucien Agoumé",https://www.footmercato.net/transferts-en-direct
3,Les plans étonnants de Manchester City avec la pépite Savinho,https://www.footmercato.net/a3810611101089558981-les-plans-etonnants-de-manchester-city-avec-la-pepite-savinho
4,"La CAN fait grincer des dents les coachs de Premier League, l’Inter va s’offrir 3 gros coups pour 0€",https://www.footmercato.net/a4657615992976526983-la-can-fait-grincer-des-dents-les-coachs-de-premier-league-linter-va-soffrir-3-gros-coups-pour-0eur
5,Mercato PSG : le prix à payer pour Kalvin Phillips est connu,https://www.footmercato.net/a5701033308516222294-mercato-psg-le-prix-a-payer-pour-kalvin-phillips-est-connu
6,PSG : Kylian Mbappé et son entourage se font dézinguer à Madrid,https://www.footmercato.net/a5324099155734897940-psg-kylian-mbappe-et-son-entourage-se-font-dezinguer-a-madrid
7,Le PSG cherche déjà à remplacer Gabriel Moscardo !,https://www.footmercato.net/a5865592672970718784-le-psg-cherche-deja-a-remplacer-gabriel-moscardo
8,Le président des Corinthians se lâche sur le transfert Gabriel Moscardo au PSG,https://www.footmercato.net/a1533250495897082072-le-president-de-corinthians-se-lache-sur-le-transfert-gabriel-moscardo-au-psg
9,"Que devient Eliaquim Mangala, l’ancien défenseur le plus cher du monde ?",https://www.footmercato.net/a1687302235637015577-que-devient-eliaquim-mangala-lancien-defenseur-le-plus-cher-du-monde
10,La brutale descente aux enfers de Karamoko Dembélé,https://www.footmercato.net/a5150249302316387352-la-brutale-descente-aux-enfers-de-karamoko-dembele
11,Les 7 joueurs ciblés par le Bayern Munich,https://www.footmercato.net/a8944719982699231145-les-7-joueurs-cibles-par-le-bayern-munich
12,Manchester United : ça se précise pour le retour de Jadon Sancho au Borussia Dortmund !,https://www.footmercato.net/a7133460979743125595-manchester-united-ca-se-precise-pour-le-retour-de-jadon-sancho-au-borussia-dortmund
13,JT Foot Mercato : l’Arabie saoudite va encore piller l’Europe !,https://www.footmercato.net/a6529330139681952383-jt-foot-mercato-larabie-saoudite-va-encore-piller-leurope
14,West Ham : accord trouvé avec Monaco pour le prêt de Thilo Kehrer,https://www.footmercato.net/a3876827990096970965-west-ham-accord-trouve-avec-monaco-pour-le-pret-de-thilo-kehrer
15,L’OL va prêter l’un de ses indésirables en Ligue 1 !,https://www.footmercato.net/a3714493671787560531-lol-va-preter-lun-de-ses-indesirables-en-ligue-1
16,Galatasaray : la situation se complique pour Hakim Ziyech…,https://www.footmercato.net/a7235065504730614558-galatasaray-la-situation-se-complique-pour-hakim-ziyech
17,FC Barcelone : c’est la tuile pour Vitor Roque,https://www.footmercato.net/a8265405039756981439-fc-barcelone-cest-la-tuile-pour-vitor-roque
18,Real Madrid : Carlo Ancelotti met les choses au clair avec le Brésil,https://www.footmercato.net/a4981342301519451050-real-madrid-carlo-ancelotti-met-les-choses-au-clair-avec-le-bresil
19,PSG : Luis Enrique est déjà sous le charme de Lucas Beraldo !,https://www.footmercato.net/a340827934920276675-psg-luis-enrique-est-deja-sous-le-charme-de-lucas-beraldo
20,OM : Sheffield United ouvre la porte à un retour d’Iliman Ndiaye,https://www.footmercato.net/a5125794347447002499-om-sheffield-united-ouvre-la-porte-a-un-retour-diliman-ndiaye
21,Le FC Barcelone au cœur d’un conflit mercato avec Girona,https://www.footmercato.net/a3817768992611099876-le-fc-barcelone-au-coeur-dun-conflit-mercato-avec-girona
22,PSG : les dessous financiers XXL de l’opération Kylian Mbappé,https://www.footmercato.net/a6586847121070675275-psg-les-dessous-financiers-xxl-de-loperation-kylian-mbappe
23,Arsenal a désigné ses 8 indésirables,https://www.footmercato.net/a2109184656957417531-arsenal-a-designe-ses-8-indesirables
24,"Le choix fort du PSG pour Zaïre-Emery, l’Espagne met la pression sur Arda Güler",https://www.footmercato.net/a5123838267361700732-le-choix-fort-du-psg-pour-zaire-emery-lespagne-met-la-pression-sur-arda-guler
25,Chelsea va lâcher 45 M€ pour une première recrue,https://www.footmercato.net/a3877895741309559076-chelsea-va-lacher-45-meur-pour-une-premiere-recrue
26,L’OL va devoir signer un gros chèque pour Saïd Benrahma,https://www.footmercato.net/a1155914043754761674-lol-va-devoir-signer-un-gros-cheque-pour-said-benrahma
27,Le PSG bouleverse ses plans mercato,https://www.footmercato.net/a1748141350145367919-le-psg-bouleverse-ses-plans-mercato
28,Liverpool regrette déjà le départ de Mohamed Salah !,https://www.footmercato.net/a1625759678606125526-liverpool-regrette-deja-le-depart-de-mohamed-salah
29,Premier League : Liverpool s’offre Newcastle dans un match fou et conforte son fauteuil de leader !,https://www.footmercato.net/a3841381345564406312-premier-league-liverpool-soffre-newcastle-dans-un-match-fou-et-conforte-son-fauteuil-de-leader
30,RWD Molenbeek : l’autre club de John Textor est en pleine galère !,https://www.footmercato.net/a2160912685650200000-rwd-molenbeek-lautre-club-de-john-textor-est-en-pleine-galere
31,"Luzenac : 10 ans après, ils racontent",https://www.footmercato.net/a3547598597219526256-luzenac-10-ans-apres-ils-racontent
32,FC Barcelone : Xavi pense à mettre João Félix sur la touche !,https://www.footmercato.net/a4010889807433734159-fc-barcelone-xavi-pense-a-mettre-joao-felix-sur-la-touche
33,L’OM veut jouer un mauvais tour à l’OL dans le dossier Nemanja Matic !,https://www.footmercato.net/a6133262715765695545-lom-veut-jouer-un-mauvais-tour-a-lol-dans-le-dossier-nemanja-matic
34,JT Foot Mercato : les joueurs qui vont mettre le feu au mercato en 2024,https://www.footmercato.net/a6079139966982746088-jt-foot-mercato-les-joueurs-qui-vont-mettre-le-feu-au-mercato-en-2024
